Body
Date,Weight,BMI,Fat
"2019-01-01","175.97","25.97","22.614"
"2019-01-02","175.97","25.97","22.518"
"2019-01-03","177.95","26.27","22.552"
"2019-01-04","178.46","26.34","22.79"
"2019-01-05","177.29","26.17","22.892"
"2019-01-06","178.57","26.36","22.915"
"2019-01-07","177.74","26.24","22.835"
"2019-01-08","176.92","26.11","22.754"
"2019-01-09","176.92","26.11","22.523"
"2019-01-10","177.82","26.25","22.573"
"2019-01-11","178.64","26.37","22.6"
"2019-01-12","178.64","26.37","22.336"
"2019-01-13","177.93","26.26","22.243"
"2019-01-14","178.48","26.35","21.951"
"2019-01-15","178.22","26.31","21.992"
"2019-01-16","177.07","26.14","22.038"
"2019-01-17","176.51","26.05","22.004"
"2019-01-18","175.95","25.97","21.969"
"2019-01-19","176.43","26.04","21.966"
"2019-01-20","176.76","26.09","21.79"
"2019-01-21","176.01","25.98","21.776"
"2019-01-22","175.26","25.87","21.761"
"2019-01-23","176.43","26.04","21.506"
"2019-01-24","178.72","26.38","21.37"
"2019-01-25","176.67","26.08","21.368"
"2019-01-26","176.72","26.09","21.36"
"2019-01-27","176.77","26.09","21.352"
"2019-01-28","176.81","26.1","21.344"
"2019-01-29","176.86","26.11","21.336"
"2019-01-30","176.9","26.11","21.328"
"2019-01-31","176.95","26.12","21.32"

