date,measurement,status,coment
2015-12-17,16.5,"end of bulk"
2016-06-14,17.75,"end of cut"
2017-05-27,16,"cutting"
2018-04-17,16,"bulking"
2018-05-15,16.5,"bulking"
2018-06-18,15.5,"bulking"
2018-07-16,15.5,"bulking"
2018-08-15,15.25,"end of bulk"
2018-09-15,15,"cutting"
2018-10-15,15.5,"cutting"
2018-11-15,15,"cutting"
2018-12-5,15.25,"cutting"
2019-01-15,15,"cutting"
2019-02-15,15,"end of cut"
2019-03-15,14.5,"maintaining"
2019-04-15,15,"maintaining"
2019-05-16,15,"beginning of cut"
2019-06-16,14.5,""
2019-07-15,14.25,"Cutting","Just back from Japan"
2019-08-15,15.5,"Cutting","Just back from Czechia"
2019-09-14,14.5,"End of cut"
2019-10-15,14.75,"Maintaining"
2019-11-17,15,"Maintaining"
2020-01-15,14.75,"Bulking"
2020-02-14,15,"Bulking"
2020-03-15,15,"Bulking"
2020-04-17,15.5,"End of bulk","Quarantined"
