date,measurement,notes
2015-12-17,38,"end of bulk"
2016-06-14,32,"end of cut"
2017-05-27,33.5,"cutting"
2018-04-17,35.5,"bulking"
2018-05-15,36,"bulking"
2018-06-18,35.5,"bulking"
2018-07-16,36,"bulking"
2018-08-15,37,"end of bulk"
2018-09-15,35.25,"cutting"
2018-10-15,35,"cutting"
2018-11-15,34,"cutting"
2018-12-5,34.5,"cutting"
2019-01-15,33.5,"cutting"
2019-02-15,33.5,"end of cut"
2019-03-15,34,"maintaining"
2019-04-15,33.75,"maintaining"
2019-05-16,34,"beginning of cut"
2019-06-16,33,""
2019-07-15,33.25,"Cutting","Just back from Japan"
2019-08-15,33,"Cutting","Just back from Czechia"
2019-09-14,32.75,"End of cut"
2019-10-15,33,"Maintaining"
2019-11-17,33,"Maintaining"
2020-01-15,34.5,"Bulking"
2020-02-14,34.5,"Bulking"
2020-03-15,34.5,"Bulking"
2020-04-17,35,"End of bulk","Quarantined"
