date,weight,reps,notes
2015-07-16,225,2,""
2015-07-16,225,2,""
2015-07-16,225,2,""
2015-07-16,225,2,""

2015-11-13,185,8,""
2015-11-13,185,8,""
2015-11-13,185,8,""
2015-11-13,185,8,""

2015-11-28,205,8,""
2015-11-28,205,8,""
2015-11-28,205,8,""
2015-11-28,215,8,""

2015-12-07,215,8,""
2015-12-07,215,8,""
2015-12-07,215,8,""
2015-12-07,215,8,""

2015-12-15,220,8,""
2015-12-15,220,8,""
2015-12-15,220,8,""
2015-12-15,220,8,""

2015-12-30,185,8,""
2015-12-30,205,8,""
2015-12-30,205,8,""
2015-12-30,205,8,""

2016-01-06,205,8,""
2016-01-06,205,8,""
2016-01-06,205,8,""
2016-01-06,205,8,""

2016-01-13,185,8,""
2016-01-13,185,8,""
2016-01-13,185,8,""
2016-01-13,185,8,""

2016-01-19,195,8,""
2016-01-19,195,8,""
2016-01-19,195,8,""
2016-01-19,195,8,""

2016-02-16,200,8,""
2016-02-16,200,8,""
2016-02-16,200,8,""
2016-02-16,200,8,""

2016-02-18,225,4,""
2016-02-18,225,4,""
2016-02-18,225,4,""
2016-02-18,225,4,""
2016-02-18,225,4,""
2016-02-18,225,4,""

2016-02-21,230,8,""
2016-02-21,185,8,""
2016-02-21,185,8,""
2016-02-21,185,8,""

2016-02-25,200,4,""

2016-02-26,205,4,""
2016-02-26,205,4,""
2016-02-26,205,4,""
2016-02-26,205,4,""
2016-02-26,205,4,""
2016-02-26,205,4,""

2016-03-03,210,8,""
2016-03-03,210,8,""
2016-03-03,210,8,""
2016-03-03,210,8,""

2016-03-06,215,4,""
2016-03-06,215,4,""
2016-03-06,215,4,""
2016-03-06,215,4,""
2016-03-06,215,4,""
2016-03-06,215,4,""

2016-03-11,220,8,""
2016-03-11,220,8,""
2016-03-11,220,8,""
2016-03-11,220,8,""

2016-03-15,225,4,""
2016-03-15,225,4,""
2016-03-15,225,4,""
2016-03-15,225,4,""
2016-03-15,225,4,""
2016-03-15,225,4,""

2016-03-17,225,8,""
2016-03-17,225,8,""
2016-03-17,225,8,""
2016-03-17,225,8,""

2016-03-21,230,4,""
2016-03-21,230,4,""
2016-03-21,230,4,""
2016-03-21,230,4,""
2016-03-21,230,4,""
2016-03-21,230,4,""

2016-03-24,230,8,""
2016-03-24,230,8,""
2016-03-24,230,8,""
2016-03-24,230,8,""

2016-03-29,235,4,""
2016-03-29,235,4,""
2016-03-29,235,4,""
2016-03-29,235,4,""
2016-03-29,235,4,""
2016-03-29,235,4,""

2016-04-01,235,8,""
2016-04-01,235,8,""
2016-04-01,225,8,""
2016-04-01,225,8,""

2016-04-15,225,4,""
2016-04-15,225,4,""
2016-04-15,225,4,""
2016-04-15,225,4,""
2016-04-15,225,4,""
2016-04-15,225,4,""

2016-04-20,225,4,""
2016-04-20,245,4,""
2016-04-20,245,4,""
2016-04-20,245,4,""

2016-04-26,225,4,""
2016-04-26,225,4,""
2016-04-26,225,4,""
2016-04-26,225,4,""
2016-04-26,225,4,""
2016-04-26,225,4,""

2016-05-06,225,4,""
2016-05-06,225,4,""
2016-05-06,225,4,""
2016-05-06,225,4,""

2016-05-13,230,4,""
2016-05-13,230,4,""
2016-05-13,230,4,""
2016-05-13,230,4,""
2016-05-13,230,4,""
2016-05-13,230,4,""

2016-05-16,235,4,""
2016-05-16,235,4,""
2016-05-16,235,4,""
2016-05-16,235,4,""

2016-05-19,235,4,""
2016-05-19,235,4,""
2016-05-19,235,4,""
2016-05-19,235,4,""
2016-05-19,235,4,""
2016-05-19,235,4,""

2016-05-24,240,4,""
2016-05-24,240,4,""
2016-05-24,240,4,""
2016-05-24,240,4,""

2016-05-27,240,4,""
2016-05-27,240,4,""
2016-05-27,240,4,""
2016-05-27,240,4,""
2016-05-27,240,4,""
2016-05-27,240,4,""

2016-06-01,245,4,""
2016-06-01,245,4,""
2016-06-01,245,4,""
2016-06-01,245,4,""

2016-06-08,245,4,""
2016-06-08,245,4,""
2016-06-08,245,4,""
2016-06-08,245,4,""
2016-06-08,245,4,""
2016-06-08,245,4,""

2016-06-17,245,4,""
2016-06-17,245,4,""
2016-06-17,245,4,""
2016-06-17,245,4,""
2016-06-17,245,4,""
2016-06-17,245,4,""

2016-06-24,250,4,""
2016-06-24,250,4,""
2016-06-24,250,4,""
2016-06-24,250,4,""

2016-07-06,190,4,""
2016-07-06,190,4,""
2016-07-06,190,4,""
2016-07-06,190,4,""
2016-07-06,190,4,""
2016-07-06,190,4,""

2016-07-09,175,25,""

2016-07-13,195,4,""
2016-07-13,195,4,""
2016-07-13,195,4,""
2016-07-13,195,4,""
2016-07-13,195,4,""
2016-07-13,195,4,""

2016-07-19,135,12,""
2016-07-19,155,12,""
2016-07-19,155,12,""
2016-07-19,155,12,""

2016-07-26,140,12,""
2016-07-26,140,12,""
2016-07-26,155,12,""
2016-07-26,160,12,""

2016-08-01,175,10,""
2016-08-01,175,10,""
2016-08-01,175,10,""
2016-08-01,175,10,""

2016-08-09,185,8,""
2016-08-09,185,8,""
2016-08-09,185,8,""
2016-08-09,185,8,""

2016-08-17,185,4,""
2016-08-17,195,4,""
2016-08-17,195,4,""
2016-08-17,195,4,""
2016-08-17,195,4,""
2016-08-17,195,4,""

2016-09-16,185,4,""
2016-09-16,185,4,""
2016-09-16,185,4,""
2016-09-16,185,4,""
2016-09-16,185,4,""
2016-09-16,185,4,""

2016-09-19,190,4,""
2016-09-19,190,4,""
2016-09-19,190,4,""
2016-09-19,190,4,""

2016-09-21,195,4,""
2016-09-21,195,4,""
2016-09-21,195,4,""
2016-09-21,195,4,""
2016-09-21,195,4,""
2016-09-21,195,4,""

2016-09-28,200,4,""
2016-09-28,190,4,""
2016-09-28,190,4,""
2016-09-28,190,4,""

2016-10-01,200,4,""
2016-10-01,200,4,""
2016-10-01,200,4,""
2016-10-01,200,4,""
2016-10-01,200,4,""
2016-10-01,200,4,""

2016-10-05,205,4,""
2016-10-05,205,4,""
2016-10-05,205,4,""
2016-10-05,205,4,""

2016-10-11,205,4,""
2016-10-11,205,4,""
2016-10-11,205,4,""
2016-10-11,205,4,""
2016-10-11,205,4,""
2016-10-11,205,4,""

2016-10-19,250,3,""
2016-10-19,250,3,""
2016-10-19,250,3,""
2016-10-19,235,3,""
2016-10-19,245,3,""
2016-10-19,245,3,""
2016-10-19,185,4,""
2016-10-19,205,4,""
2016-10-19,225,4,""
2016-10-19,225,4,""

2016-10-24,235,4,""
2016-10-24,235,4,""
2016-10-24,235,4,""
2016-10-24,235,4,""
2016-10-24,235,4,""
2016-10-24,235,4,""
2016-10-24,185,4,""
