date	measurement
10-Aug-2018	192.2
09-Aug-2018	193.8
08-Aug-2018	194.2
07-Aug-2018	193.4
03-Aug-2018	193.5
02-Aug-2018	193.9
01-Aug-2018	191.6
31-Jul-2018	191.6
30-Jul-2018	190
26-Jul-2018	193
25-Jul-2018	190.7
24-Jul-2018	191.7
23-Jul-2018	191
22-Jul-2018	190.8
21-Jul-2018	191.2
20-Jul-2018	192.9
19-Jul-2018	192.9
18-Jul-2018	190.6
17-Jul-2018	191.8
16-Jul-2018	191.8
13-Jul-2018	192.3
12-Jul-2018	190.7
11-Jul-2018	190.7
10-Jul-2018	189.1
09-Jul-2018	188.2
08-Jul-2018	188.7
07-Jul-2018	191.1
06-Jul-2018	191.5
05-Jul-2018	191.5
04-Jul-2018	190.3
03-Jul-2018	190.3
01-Jul-2018	188.6
30-Jun-2018	188.6
29-Jun-2018	189.4
28-Jun-2018	188.5
27-Jun-2018	189.4
26-Jun-2018	187.8
25-Jun-2018	188
24-Jun-2018	188
